id_celda,sitio,tecnologia,banda_mhz,tipo_sector,partido_comuna,comuna,localidad,provincia,region,subregion,cabecera
WCS119X,CS119,3G,850,Outdoor,CABA COMUNA 07,7,FLORES,CABA,AMBA,CF,CAPITAL FEDERAL
WCS119Y,CS119,3G,850,Outdoor,CABA COMUNA 07,7,FLORES,CABA,AMBA,CF,CAPITAL FEDERAL
WCS120X,CS120,3G,850,Outdoor,CABA COMUNA 08,8,VILLA SOLDATI,CABA,AMBA,CF,CAPITAL FEDERAL
WCS120Y,CS120,3G,850,Outdoor,CABA COMUNA 08,8,VILLA SOLDATI,CABA,AMBA,CF,CAPITAL FEDERAL
WCS120Z,CS120,3G,850,Outdoor,CABA COMUNA 08,8,VILLA SOLDATI,CABA,AMBA,CF,CAPITAL FEDERAL
WCS121A,CS121,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS121X,CS121,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS121Y,CS121,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS121Z,CS121,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS122C,CS122,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS122X,CS122,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS122Y,CS122,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS122Z,CS122,3G,850,Outdoor,CABA COMUNA 08,8,VILLA LUGANO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS123B,CS123,3G,850,Outdoor,CABA COMUNA 01,1,CONSTITUCION,CABA,AMBA,CF,CAPITAL FEDERAL
WCS124X,CS124,3G,850,Outdoor,CABA COMUNA 01,1,PUERTO MADERO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS124Y,CS124,3G,850,Outdoor,CABA COMUNA 01,1,PUERTO MADERO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS124Z,CS124,3G,850,Outdoor,CABA COMUNA 01,1,PUERTO MADERO,CABA,AMBA,CF,CAPITAL FEDERAL
WCS125A,CS125,3G,850,Outdoor,CABA COMUNA 01,1,SAN NICOLAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS125Y,CS125,3G,850,Outdoor,CABA COMUNA 01,1,SAN NICOLAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS126A,CS126,3G,850,Outdoor,CABA COMUNA 01,1,SAN NICOLAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS126X,CS126,3G,850,Outdoor,CABA COMUNA 01,1,SAN NICOLAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS126Y,CS126,3G,850,Outdoor,CABA COMUNA 01,1,SAN NICOLAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS126Z,CS126,3G,850,Outdoor,CABA COMUNA 01,1,SAN NICOLAS,CABA,AMBA,CF,CAPITAL FEDERAL
WCS127A,CS127,3G,850,Outdoor,CABA COMUNA 01,1,CONSTITUCION,CABA,AMBA,CF,CAPITAL FEDERAL
WCS127X,CS127,3G,850,Outdoor,CABA COMUNA 01,1,CONSTITUCION,CABA,AMBA,CF,CAPITAL FEDERAL
WCS127Y,CS127,3G,850,Outdoor,CABA COMUNA 01,1,CONSTITUCION,CABA,AMBA,CF,CAPITAL FEDERAL
WCS127Z,CS127,3G,850,Outdoor,CABA COMUNA 01,1,CONSTITUCION,CABA,AMBA,CF,CAPITAL FEDERAL
